id,title,description,availability,condition,price,link,image_link,brand
37603173,Chrysler PACIFICA LX  2018,"Chrysler PACIFICA LX  2018
KM: 127680",in stock,used,16995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/chrysler/pacifica-lx/chrysler-pacifica-lx-2018-id37603173,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/chrysler/pacifica/2018/37603173/37603173_04845_2018-chrysler-pacifica_003.jpeg,Kennebec Dodge Chrysler
37715181,Dodge GRAND CARAVAN PREMIUM PLUS  2019,"Dodge GRAND CARAVAN PREMIUM PLUS  2019
KM: 84532",in stock,used,22995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/grand-caravan-premium-plus/dodge-grand-caravan-premium-plus-2019-id37715181,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/grand-caravan-premium-plus/2019/37715181/37715181_09307_2019-dodge-grand-caravan-premium-plus_009.jpeg,Kennebec Dodge Chrysler
37585568,Dodge HORNET R/T PLUS  2024,"Dodge HORNET R/T PLUS  2024
KM: 51808",in stock,used,,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/hornet-rt-plus/dodge-hornet-rt-plus-2024-id37585568,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/hornet-r-t-plus/2024/37585568/37585568_06508_2024-dodge-hornet-r-t-plus_001.jpg,Kennebec Dodge Chrysler
37482214,Dodge HORNET R/T PLUS  2024,"Dodge HORNET R/T PLUS  2024
KM: 22",in stock,used,43995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/hornet-rt-plus/dodge-hornet-rt-plus-2024-id37482214,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/hornet-r-t-plus/2024/37482214/37482214_01246_2024-dodge-hornet-r-t-plus_001.png,Kennebec Dodge Chrysler
37482212,Dodge HORNET R/T PLUS  2024,"Dodge HORNET R/T PLUS  2024
KM: 22",in stock,used,43995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/hornet-rt-plus/dodge-hornet-rt-plus-2024-id37482212,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/hornet/2024/37482212/37482212_01393_2024-dodge-hornet_001.png,Kennebec Dodge Chrysler
37482215,Dodge HORNET R/T PLUS  2024,"Dodge HORNET R/T PLUS  2024
KM: 10111",in stock,used,42995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/hornet-rt-plus/dodge-hornet-rt-plus-2024-id37482215,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/hornet/2024/37482215/37482215_01087_2024-dodge-hornet_001.png,Kennebec Dodge Chrysler
37482211,Dodge HORNET R/T  2024,"Dodge HORNET R/T  2024
KM: 22",in stock,used,39995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/hornet-rt/dodge-hornet-rt-2024-id37482211,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/hornet/2024/37482211/37482211_08986_2024-dodge-hornet_001.png,Kennebec Dodge Chrysler
37564664,Dodge HORNET GT  2023,"Dodge HORNET GT  2023
KM: 42892",in stock,used,26995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/hornet-gt/dodge-hornet-gt-2023-id37564664,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/hornet-gt/2023/37564664/37564664_04650_2023-dodge-hornet-gt_001.jpg,Kennebec Dodge Chrysler
36481879,Dodge DURANGO R/T  2019,"Dodge DURANGO R/T  2019
KM: 167944",in stock,used,28995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/durango-rt/dodge-durango-rt-2019-id36481879,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/durango/2019/36481879/36481879_07494_2019-dodge-durango_001.png,Kennebec Dodge Chrysler
36388722,Dodge HORNET GT PLUS  2023,"Dodge HORNET GT PLUS  2023
KM: 100000",in stock,used,29995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/dodge/hornet-gt-plus/dodge-hornet-gt-plus-2023-id36388722,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/dodge/hornet/2023/36388722/36388722_04249_2023-dodge-hornet_001.png,Kennebec Dodge Chrysler
