vehicle_id,make,model,year,mileage,price,url,image,state_of_vehicle,address,body_style
36744769,Fiat,500 E RED,2024,22,26995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/fiat/500-e-red/fiat-500-e-red-2024-id36744769,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/fiat/500-e-red/2024/36744769/36744769_06061_2024-fiat-500-e-red_017.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36744770,Fiat,500 E RED,2024,22,26995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/fiat/500-e-red/fiat-500-e-red-2024-id36744770,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/fiat/500-e-red/2024/36744770/36744770_00495_2024-fiat-500-e-red_018.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37451458,Hyundai,ACCENT SE,2016,76123,7995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/hyundai/accent-se/hyundai-accent-se-2016-id37451458,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/hyundai/accent-se/2016/37451458/37451458_05133_2016-hyundai-accent-se_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37350161,Polaris,SLINGSHOT SL,2016,30415,16995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/polaris/slingshot-sl/polaris-slingshot-sl-2016-id37350161,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/polaris/slingshot-sl/2016/37350161/37350161_08772_2016-polaris-slingshot-sl_002.jpeg,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37009120,Mitsubishi,OUTLANDER GT S PREMIUM,2023,31028,36995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/mitsubishi/outlander-gt-s--premium/mitsubishi-outlander-gt-s--premium-2023-id37009120,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/mitsubishi/outlander/2023/37009120/37009120_01782_2023-mitsubishi-outlander_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36977619,Mercedes,MERCEDES,2018,56132,38995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/mercedes/mercedes/mercedes-mercedes-2018-id36977619,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/mercedes-benz/c-class/2018/36977619/36977619_01817_2018-mercedes-benz-c-class_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36953066,Mazda,CX-90 PREMIUM SIGNATURE,2024,40419,45995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/mazda/cx-90-premium-signature/mazda-cx-90-premium-signature-2024-id36953066,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/mazda/cx-90-premium-signature/2024/36953066/36953066_00395_2024-mazda-cx-90-premium-signature_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36388719,Harley-Davidson,FLHTK,2014,83129,12595 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/harley-davidson/flhtk/harley-davidson-flhtk-2014-id36388719,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/harley-davidson/flhtk/2014/36388719/36388719_02151_2014-harley-davidson-flhtk_014.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36473772,Ferrari,488GTB,2017,10064,349995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ferrari/488gtb/ferrari-488gtb-2017-id36473772,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ferrari/ferrari/2017/36473772/36473772_02512_2017-ferrari-ferrari_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
33095864,Plymouth,SATELLITE RESTAURER AU COMPLET,1969,57000,59995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/plymouth/satellite/plymouth-satellite-1969-id33095864,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/plymouth/satellite/1969/33095864/33095864_09391_1969-plymouth-satellite_031.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
30998036,Plymouth,Prowler,2000,31307,37995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/plymouth/prowler/plymouth-prowler-2000-id30998036,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/plymouth/prowler/2000/30998036/30998036_06233_2000-plymouth-prowler_012.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37443009,Ford,MUSTANG GT NOIR,2022,48805,39995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ford/mustang-gt/ford-mustang-gt-2022-id37443009,https://img.sm360.ca/images/web/kennebecdodgechryslerincorporated-203/4138/logo-header1690909139246.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
